video_id,qid,pred,question,question_type
sj81PWrerDk,0008-0,"The difference between the actions of the last person in the video and the actions of the first two people is that the last man, after being shown with a bottle of coke at a table (twice), is then holding the bottle of coke in front of a Christmas tree.",What is the difference between the action of the last person in the video and the actions of the first two people?,Primary Open-ended Question
sj81PWrerDk,0008-1,The last person in the video is the only one who moved the bottle of coke from the table to in front of a Christmas tree.,Can you describe how the actions of the last person in the video differ from other individuals?,Paraphrased Open-ended Question
sj81PWrerDk,0008-2,"Yes, the last person opened the bottle without using a knife.",Did the last person open the bottle without using a knife?,Correctly-led Open-ended Question
sj81PWrerDk,0008-3,"The first two people were drinking soda and coke, while the last person was holding a bottle of coke.",Did the last person in the video open the bottle with a knife while the first two people failed in their attempts?,Wrongly-led Open-ended Question
sj81PWrerDk,0008-7,"C. He uses a bottle opener. (The first two people are shown drinking soda from bottles that do not require opening, while the last person is shown with a coke bottle which typically requires a bottle opener to open.)","How does the last person in the video open the bottle differently from the first two people?
A. He uses a different type of knife.
B. He uses a corkscrew.
C. He uses a bottle opener.
D. He uses his finger.",Multiple-choice Question with a Single Correct Answer
AGCyLqLuUJ0,0012-0,"3 robot figures appear in the video. The first two are visible at the beginning of the clip, and a third one is introduced later as it moves into the frame from off-screen.",How many robot figures appear in the video?,Primary Open-ended Question
AGCyLqLuUJ0,0012-1,"4 robot figures are shown in the video. Although some frames might be missing, it can be inferred that the video likely starts with a close-up of one robot figure, then cuts to another, followed by a group of three robots together, and finally ends with a shot of the first robot again, suggesting four unique robot figures in total.",What is the total number of robot figures shown in the video?,Paraphrased Open-ended Question
AGCyLqLuUJ0,0012-2,"Yes, based on the available frames, it is reasonable to infer that there are four robot figures displayed in the video.",Does the video display four robot figures in total?,Correctly-led Open-ended Question
AGCyLqLuUJ0,0012-3,"No, based on the available frames, it cannot be definitively confirmed that there are only two robot figures shown in the video. However, it is possible that more robots may have been present but are not visible due to camera angles or frame cuts.",Are there only two robot figures shown in the video?,Wrongly-led Open-ended Question
AGCyLqLuUJ0,0012-7,"Based on the available frames, we can see three distinct robot figures. Therefore, the correct answer is B. Three. It's likely that there are more robots off-screen or they appear too briefly to be captured by the video, but for certainty, we can only count the ones visible in the provided frames.","How many robot figures are shown in the video?
A. Two
B. Three
C. Four
D. Five",Multiple-choice Question with a Single Correct Answer
4mKxze5P9gQ,0016-0,The person is facing the camera throughout the video.,Which direction is the person facing?,Primary Open-ended Question
